channel code,order no,extern order no,flipkart extern order no,unique external order no,order date & time,date,order type,order level status,line status,sr status,forward status,report status,cancellation type,reason for cancellation,bill city,bill pin code,bill email,bill phone,bill state,ship city,ship pincode,ship email,ship phone,ship state,sku,ean,order amount,line amount,mrp,discount amount,order qty,voucher code,voucher amount,shipping charges,brand code,fullfilment location name,fullfilment location pincode,fullfilment location city,fullfilment location state,location type,extern location code,shipment id,extern transporter name,awb,razorpay status,razorpay order id,razorpay payment id,transporter remarks,transporter remarks2,transporter shipment id,internal invoice no,external invoice no,invoice date,pack time & date,ship by date,shipped  complete time & date,line level tax value,order level tax value,tagloop,on hold,bag id,marketplace name,marketplace type,line cancellation reason,line cancelled by,sr pickup timestamp,sr customer delivered timestamp,sr pickup ageing in days,sr delivered ageing in days,exchange original bagid,replacement order,customer order tag,payment gateway name,pg amount (bagid),ca+brand point redemption (bag id),egc redemption (bag id),is exchange,original bagid,original order no,payu payment id,order channel,delivered_date,marketplace/web,order-sku_combo,fulfillment_id,order_dt,order_dt_date,order_dt_time,pack_dt,pack_dt_date,pack_dt_time,ship_dt,ship_dt_date,ship_dt_time,del_dt,del_dt_date,del_dt_time,sr_order picked up date,sr_order deliver date,sr_pickupdt,sr_pickupdt_date,sr_pickupdt_time,sr_deliverdt,sr_deliverdt_date,sr_deliverdt_time,o2p,p2s,s2d,o2d,o2p_D,p2s_D,s2d_D,o2d_D,o2p_Abs,p2s_Abs,s2d_Abs,o2d_Abs,o2p_H,p2s_H,s2d_H,o2d_H,lane,sr_zone,sr_charged weight,sr_edd,sr_weight (kg),sr_awb code,sr_awb assigned date,sr_order tags,sr_master courier
AX,AX50000154,AXI00500154,,AXI00500154,03-04-2026 02:11,03-04-2026,Prepaid,Delivered,processing,in transit,in transit,Pickup pending,,,Surat,395001,user11401@example.com,8820995777,Gujarat,Surat,395001,user11401@example.com,8820995777,Gujarat,SKU2662054,6.06E+12,1699,1699,1999,300,2,,0,0,AX,AX Fulfillment,560100,Bengaluru,Karnataka,STORE,MBWH46,LFW806052829,ElasticRun SDD,4063268031,,,pay_AXYKCUCCXHCF,,,TSID806052829,AXLFW1542747974,9.69E+14,03-04-2026 02:11,03-04-2026 04:14,03-05-2026 15:12,03-04-2026 06:10,84.95,84.95,,NO,AXI00500154-390347429-1,Custom,Custom,,,,,,,NO,,,,Web,03-05-2026,Website,AXI00500154390347429,AXI00500154390347429,03-04-2026 02:11,03-04-2026,02:11:50,03-04-2026 04:14,Marketplace,04:14:38,03-04-2026 06:10,03-04-2026,06:10:28,03-05-2026 11:05,03-05-2026,11:05:39,03-04-2026,03-05-2026,03-04-2026 06:10,03-04-2026,06:10:28,03-05-2026 11:05,03-05-2026,11:05:39,2.047,1.93,28.92,32.897,D0,D0,D1,D1,2.047,1.93,28.92,32.897,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bengaluru-Surat,z_b,1.8,03-08-2026,1.5,4063268031,03-04-2026 04:09,WMS,ElasticRun SDD,,,,,,,
ZP,ZP50000155,ZPI00500155,,ZPI00500155,03-03-2026 11:26,03-03-2026,COD,Partially Shipped,shipped complete,in transit,in transit,Pickup pending,,,Bengaluru,560001,user34400@example.com,8726869296,Karnataka,Bengaluru,560001,user34400@example.com,8726869296,Karnataka,SKU1233207,6.21E+12,499,499,999,500,3,,0,0,ZP,ZP Center,110020,Delhi,Delhi,STORE,MBWH48,LFW494117936,Delhivery,1750821255,,,pay_ZPJUQBOTPBLA,,,TSID494117936,ZPLFW4605233923,9.85E+14,03-03-2026 11:26,03-03-2026 14:30,03-04-2026 17:26,03-03-2026 16:41,24.95,24.95,,NO,ZPI00500155-805361027-1,Custom,Custom,,,,,,,NO,,,,App,03-05-2026,Website,ZPI00500155805361027,ZPI00500155805361027,03-03-2026 11:26,03-03-2026,11:26:58,03-03-2026 14:30,Marketplace,14:30:17,03-03-2026 16:41,03-03-2026,16:41:48,03-05-2026 12:38,03-05-2026,12:38:28,03-03-2026,03-05-2026,03-03-2026 16:41,03-03-2026,16:41:48,03-05-2026 12:38,03-05-2026,12:38:28,3.055,2.192,43.945,49.192,D0,D0,D1,D2,3.055,2.192,43.945,49.192,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Delhi-Bengaluru,z_b,0.8,03-06-2026,0.7,1750821255,03-03-2026 14:25,WMS,Delhivery,,,,,,,
AX,AX50000156,AXI00500156,,AXI00500156,1/13/2026 9:54,1/13/2026,COD,Delivered,cancelled,pending,cancelled,Pickup pending,Out of Stock,Duplicate order,Mumbai,400077,user26531@example.com,7668047760,Maharashtra,Mumbai,400077,user26531@example.com,7668047760,Maharashtra,SKU9177419,6.17E+12,2799,2799,2999,200,2,,0,0,AX,AX Fulfillment,560100,Bengaluru,Karnataka,STORE,MBWH63,LFW216710352,Ekart,8780521609,,,pay_AXNPRPZVWEKY,,,TSID216710352,AXLFW9544275861,9.72E+14,1/13/2026 9:54,1/13/2026 11:30,1/15/2026 5:37,1/13/2026 13:19,139.95,139.95,,NO,AXI00500156-533404713-1,Magento,Custom,,,,,,,NO,,,,App,1/16/2026,Website,AXI00500156533404713,AXI00500156533404713,1/13/2026 9:54,1/13/2026,09:54:30,1/13/2026 11:30,Marketplace,11:30:04,1/13/2026 13:19,1/13/2026,13:19:25,1/16/2026 7:14,1/16/2026,07:14:04,1/13/2026,1/16/2026,1/13/2026 13:19,1/13/2026,13:19:25,1/16/2026 7:14,1/16/2026,07:14:04,1.593,1.823,65.911,69.326,D0,D0,D2,D2,1.593,1.823,65.911,69.326,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bengaluru-Mumbai,z_b,0.5,1/14/2026,0.4,8780521609,1/13/2026 11:25,WMS,Ekart,,,,,,,
AX,AX50000157,AXI00500157,,AXI00500157,01-02-2026 17:38,01-02-2026,Prepaid,Cancelled,delivered,delivered,in transit,Pickup pending,Out of Stock,Duplicate order,Jaipur,302001,user56009@example.com,8795615023,Rajasthan,Jaipur,302001,user56009@example.com,8795615023,Rajasthan,SKU1134702,6.53E+12,2699,2699,2999,300,2,,0,0,AX,AX Fulfillment,560100,Bengaluru,Karnataka,STORE,MBWH45,LFW382963966,BlueDart,4293069999,,,pay_AXQJWUHHKNPB,,,TSID382963966,AXLFW8819457893,9.37E+14,01-02-2026 17:38,01-02-2026 19:21,01-05-2026 16:31,01-02-2026 21:33,134.95,134.95,,NO,AXI00500157-851436867-1,Custom,Custom,,,,,,,NO,,,,App,01-04-2026,Website,AXI00500157851436867,AXI00500157851436867,01-02-2026 17:38,01-02-2026,17:38:59,01-02-2026 19:21,Web,19:21:33,01-02-2026 21:33,01-02-2026,21:33:18,01-04-2026 06:05,01-04-2026,06:05:00,01-02-2026,01-04-2026,01-02-2026 21:33,01-02-2026,21:33:18,01-04-2026 06:05,01-04-2026,06:05:00,1.71,2.196,32.528,36.434,D0,D0,D1,D1,1.71,2.196,32.528,36.434,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bengaluru-Jaipur,z_b,0.8,01-05-2026,0.7,4293069999,01-02-2026 19:16,WMS,BlueDart,,,,,,,
VS,VS50000158,VSI00500158,,VSI00500158,01-07-2026 04:10,01-07-2026,COD,Cancelled,cancelled,pending,delivered,Pickup pending,Customer Request,Changed mind,Pune,411001,user83445@example.com,8491811929,Maharashtra,Pune,411001,user83445@example.com,8491811929,Maharashtra,SKU5700293,6.67E+12,999,999,1499,500,1,,0,0,VS,LF Logistics,421302,Bhiwandi,Maharastra,STORE,MBWH26,LFW833324339,ElasticRun SDD,3873107809,,,pay_VSODCRTKJXPY,,,TSID833324339,VSLFW4702151315,9.56E+14,01-07-2026 04:10,01-07-2026 05:10,01-08-2026 17:52,01-07-2026 07:19,49.95,49.95,,NO,VSI00500158-621831245-1,Shopify,Custom,,,,,,,NO,,,,Web,01-08-2026,Website,VSI00500158621831245,VSI00500158621831245,01-07-2026 04:10,01-07-2026,04:10:49,01-07-2026 05:10,Web,05:10:54,01-07-2026 07:19,01-07-2026,07:19:58,01-08-2026 14:37,01-08-2026,14:37:52,01-07-2026,01-08-2026,01-07-2026 07:19,01-07-2026,07:19:58,01-08-2026 14:37,01-08-2026,14:37:52,1.002,2.151,31.298,34.451,D0,D0,D1,D1,1.002,2.151,31.298,34.451,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bhiwandi-Pune,z_b,0.6,01-10-2026,0.4,3873107809,01-07-2026 05:05,WMS,ElasticRun SDD,,,,,,,
AX,AX50000159,AXI00500159,,AXI00500159,3/22/2026 16:29,3/22/2026,Prepaid,Delivered,shipped complete,pickup scheduled,in transit,Pickup pending,,,Ahmedabad,380001,user37521@example.com,9296067730,Gujarat,Ahmedabad,380001,user37521@example.com,9296067730,Gujarat,SKU9453526,6.02E+12,1299,1299,1999,700,2,,0,0,AX,AX Fulfillment,560100,Bengaluru,Karnataka,STORE,MBWH68,LFW277723833,XpressBees,5172725742,,,pay_AXRDFHBRHJBU,,,TSID277723833,AXLFW7482301234,9.87E+14,3/22/2026 16:29,3/22/2026 20:13,3/25/2026 13:12,3/22/2026 20:54,64.95,64.95,,NO,AXI00500159-871662446-1,Shopify,Custom,,,,,,,NO,,,,App,3/24/2026,Website,AXI00500159871662446,AXI00500159871662446,3/22/2026 16:29,3/22/2026,16:29:54,3/22/2026 20:13,Marketplace,20:13:51,3/22/2026 20:54,3/22/2026,20:54:01,3/24/2026 10:02,3/24/2026,10:02:26,3/22/2026,3/24/2026,3/22/2026 20:54,3/22/2026,20:54:01,3/24/2026 10:02,3/24/2026,10:02:26,3.733,0.669,37.14,41.542,D0,D0,D1,D1,3.733,0.669,37.14,41.542,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bengaluru-Ahmedabad,z_b,1.1,3/24/2026,0.7,5172725742,3/22/2026 20:08,WMS,XpressBees,,,,,,,
NB,NB50000160,NBI00500160,,NBI00500160,2/14/2026 14:33,2/14/2026,COD,Shipped,shipped complete,pending,in transit,Pickup pending,,,Mumbai,400077,user94557@example.com,8728742796,Maharashtra,Mumbai,400077,user94557@example.com,8728742796,Maharashtra,SKU5429825,6.15E+12,3299,3299,3999,700,2,,0,0,NB,NB Warehouse,421301,Thane,Maharashtra,STORE,MBWH57,LFW805789384,Delhivery,9657101385,,,pay_NBPXFUJAJFFM,,,TSID805789384,NBLFW8103123072,9.98E+14,2/14/2026 14:33,2/14/2026 18:28,2/17/2026 8:58,2/14/2026 19:46,164.95,164.95,,NO,NBI00500160-130196313-1,Custom,Custom,,,,,,,NO,,,,Web,2/17/2026,Website,NBI00500160130196313,NBI00500160130196313,2/14/2026 14:33,2/14/2026,14:33:06,2/14/2026 18:28,Web,18:28:06,2/14/2026 19:46,2/14/2026,19:46:47,2/17/2026 16:33,2/17/2026,16:33:55,2/14/2026,2/17/2026,2/14/2026 19:46,2/14/2026,19:46:47,2/17/2026 16:33,2/17/2026,16:33:55,3.917,1.311,68.786,74.014,D0,D0,D2,D3,3.917,1.311,68.786,74.014,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Thane-Mumbai,z_b,0.7,2/18/2026,0.5,9657101385,2/14/2026 18:23,WMS,Delhivery,,,,,,,
NB,NB50000161,NBI00500161,,NBI00500161,1/18/2026 16:42,1/18/2026,Prepaid,Delivered,delivered,pickup scheduled,pickup pending,Pickup pending,Customer Request,Changed mind,Jaipur,302001,user56833@example.com,7327662810,Rajasthan,Jaipur,302001,user56833@example.com,7327662810,Rajasthan,SKU1227365,6.91E+12,799,799,999,200,1,,0,0,NB,NB Warehouse,421301,Thane,Maharashtra,STORE,MBWH15,LFW317241211,Ekart,4038499343,,,pay_NBHNMELUJHVM,,,TSID317241211,NBLFW5892956017,9.97E+14,1/18/2026 16:42,1/18/2026 20:08,1/19/2026 17:42,1/18/2026 22:08,39.95,39.95,,NO,NBI00500161-812041282-1,Salesforce Commerce Cloud,Salesforce,,,,,,,NO,,,,App,1/20/2026,Website,NBI00500161812041282,NBI00500161812041282,1/18/2026 16:42,1/18/2026,16:42:56,1/18/2026 20:08,Marketplace,20:08:22,1/18/2026 22:08,1/18/2026,22:08:52,1/20/2026 8:49,1/20/2026,08:49:13,1/18/2026,1/20/2026,1/18/2026 22:08,1/18/2026,22:08:52,1/20/2026 8:49,1/20/2026,08:49:13,3.424,2.008,34.673,40.105,D0,D0,D1,D1,3.424,2.008,34.673,40.105,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Thane-Jaipur,z_b,2.1,1/21/2026,2,4038499343,1/18/2026 20:03,WMS,Ekart,,,,,,,
ZP,ZP50000162,ZPI00500162,,ZPI00500162,1/16/2026 8:17,1/16/2026,COD,Delivered,cancelled,pickup scheduled,delivered,Pickup pending,,,Pune,411001,user60413@example.com,7359135374,Maharashtra,Pune,411001,user60413@example.com,7359135374,Maharashtra,SKU8191191,6.37E+12,1499,1499,1999,500,1,,0,0,ZP,ZP Center,110020,Delhi,Delhi,STORE,MBWH21,LFW970503340,BlueDart,9301664265,,,pay_ZPWNTZUKEZUH,,,TSID970503340,ZPLFW4430319690,9.02E+14,1/16/2026 8:17,1/16/2026 12:03,1/17/2026 15:32,1/16/2026 12:46,74.95,74.95,,NO,ZPI00500162-350617156-1,Magento,Custom,,,,,,,NO,,,,App,1/17/2026,Website,ZPI00500162350617156,ZPI00500162350617156,1/16/2026 8:17,1/16/2026,08:17:28,1/16/2026 12:03,Web,12:03:55,1/16/2026 12:46,1/16/2026,12:46:38,1/17/2026 3:22,1/17/2026,03:22:41,1/16/2026,1/17/2026,1/16/2026 12:46,1/16/2026,12:46:38,1/17/2026 3:22,1/17/2026,03:22:41,3.774,0.712,14.601,19.087,D0,D0,D0,D0,3.774,0.712,14.601,19.087,0-6Hrs,0-6Hrs,12-24Hrs,12-24Hrs,Delhi-Pune,z_b,1.4,1/18/2026,1.1,9301664265,1/16/2026 11:58,WMS,BlueDart,,,,,,,
ZP,ZP50000163,ZPI00500163,,ZPI00500163,03-09-2026 13:17,03-09-2026,Prepaid,Shipped,shipped complete,pending,delivered,Pickup pending,Out of Stock,Duplicate order,Kolkata,700001,user47587@example.com,7477886699,West Bengal,Kolkata,700001,user47587@example.com,7477886699,West Bengal,SKU1048085,6.02E+12,2799,2799,3499,700,2,,0,0,ZP,ZP Center,110020,Delhi,Delhi,STORE,MBWH19,LFW996845363,BlueDart,2977353085,,,pay_ZPASNEYFPXEX,,,TSID996845363,ZPLFW9216074478,9.33E+14,03-09-2026 13:17,03-09-2026 16:22,03-11-2026 00:34,03-09-2026 18:44,139.95,139.95,,NO,ZPI00500163-833147382-1,Custom,Custom,,,,,,,NO,,,,App,03-12-2026,Website,ZPI00500163833147382,ZPI00500163833147382,03-09-2026 13:17,03-09-2026,13:17:28,03-09-2026 16:22,Web,16:22:17,03-09-2026 18:44,03-09-2026,18:44:32,03-12-2026 00:55,03-12-2026,00:55:40,03-09-2026,03-12-2026,03-09-2026 18:44,03-09-2026,18:44:32,03-12-2026 00:55,03-12-2026,00:55:40,3.08,2.371,54.186,59.637,D0,D0,D2,D2,3.08,2.371,54.186,59.637,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Delhi-Kolkata,z_b,1.1,03-10-2026,0.9,2977353085,03-09-2026 16:17,WMS,BlueDart,,,,,,,
VS,VS50000164,VSI00500164,,VSI00500164,01-05-2026 13:53,01-05-2026,COD,Partially Shipped,processing,delivered,delivered,Pickup pending,Customer Request,Changed mind,Mumbai,400077,user41501@example.com,8156067809,Maharashtra,Mumbai,400077,user41501@example.com,8156067809,Maharashtra,SKU8621830,6.78E+12,2299,2299,2999,700,3,,0,0,VS,LF Logistics,421302,Bhiwandi,Maharastra,STORE,MBWH16,LFW897934848,Ekart,5084827615,,,pay_VSTYKAHJFRDC,,,TSID897934848,VSLFW6204917298,9.90E+14,01-05-2026 13:53,01-05-2026 15:25,01-07-2026 10:13,01-05-2026 16:19,114.95,114.95,,NO,VSI00500164-064129428-1,Shopify,Custom,,,,,,,NO,,,,Web,01-07-2026,Website,VSI00500164064129428,VSI00500164064129428,01-05-2026 13:53,01-05-2026,13:53:45,01-05-2026 15:25,Marketplace,15:25:00,01-05-2026 16:19,01-05-2026,16:19:03,01-07-2026 04:06,01-07-2026,04:06:03,01-05-2026,01-07-2026,01-05-2026 16:19,01-05-2026,16:19:03,01-07-2026 04:06,01-07-2026,04:06:03,1.521,0.901,35.783,38.205,D0,D0,D1,D1,1.521,0.901,35.783,38.205,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bhiwandi-Mumbai,z_b,0.6,01-06-2026,0.5,5084827615,01-05-2026 15:20,WMS,Ekart,,,,,,,
NB,NB50000165,NBI00500165,,NBI00500165,3/14/2026 1:01,3/14/2026,Prepaid,Delivered,processing,pending,in transit,Pickup pending,Customer Request,Changed mind,Surat,395001,user11958@example.com,7612559057,Gujarat,Surat,395001,user11958@example.com,7612559057,Gujarat,SKU6177530,6.83E+12,2499,2499,2999,500,3,,0,0,NB,NB Warehouse,421301,Thane,Maharashtra,STORE,MBWH76,LFW730474896,BlueDart,1645046796,,,pay_NBJLTNBWYVMH,,,TSID730474896,NBLFW8714058899,9.79E+14,3/14/2026 1:01,3/14/2026 4:59,3/15/2026 5:30,3/14/2026 6:42,124.95,124.95,,NO,NBI00500165-165517247-1,Shopify,Custom,,,,,,,NO,,,,Web,3/14/2026,Website,NBI00500165165517247,NBI00500165165517247,3/14/2026 1:01,3/14/2026,01:01:55,3/14/2026 4:59,Marketplace,04:59:29,3/14/2026 6:42,3/14/2026,06:42:04,3/14/2026 21:35,3/14/2026,21:35:02,3/14/2026,3/14/2026,3/14/2026 6:42,3/14/2026,06:42:04,3/14/2026 21:35,3/14/2026,21:35:02,3.959,1.71,14.883,20.552,D0,D0,D0,D0,3.959,1.71,14.883,20.552,0-6Hrs,0-6Hrs,12-24Hrs,12-24Hrs,Thane-Surat,z_b,1.7,3/15/2026,1.2,1645046796,3/14/2026 4:54,WMS,BlueDart,,,,,,,
AX,AX50000166,AXI00500166,,AXI00500166,01-12-2026 11:28,01-12-2026,COD,Delivered,processing,pending,cancelled,Pickup pending,Out of Stock,Duplicate order,Jaipur,302001,user24302@example.com,7368605032,Rajasthan,Jaipur,302001,user24302@example.com,7368605032,Rajasthan,SKU7095636,6.10E+12,1299,1299,1499,200,3,,0,0,AX,AX Fulfillment,560100,Bengaluru,Karnataka,STORE,MBWH43,LFW490275201,ElasticRun SDD,3097056432,,,pay_AXAEDJMFSMCH,,,TSID490275201,AXLFW8984358195,9.67E+14,01-12-2026 11:28,01-12-2026 13:50,1/13/2026 14:44,01-12-2026 14:45,64.95,64.95,,NO,AXI00500166-006986568-1,Magento,Custom,,,,,,,NO,,,,App,1/13/2026,Website,AXI00500166006986568,AXI00500166006986568,01-12-2026 11:28,01-12-2026,11:28:29,01-12-2026 13:50,Web,13:50:21,01-12-2026 14:45,01-12-2026,14:45:49,1/13/2026 20:30,1/13/2026,20:30:00,01-12-2026,1/13/2026,01-12-2026 14:45,01-12-2026,14:45:49,1/13/2026 20:30,1/13/2026,20:30:00,2.364,0.924,29.736,33.025,D0,D0,D1,D1,2.364,0.924,29.736,33.025,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bengaluru-Jaipur,z_b,1,1/16/2026,0.8,3097056432,01-12-2026 13:45,WMS,ElasticRun SDD,,,,,,,
VS,VS50000167,VSI00500167,,VSI00500167,2/20/2026 17:40,2/20/2026,COD,Shipped,delivered,in transit,in transit,Pickup pending,Out of Stock,Duplicate order,Delhi,110001,user67250@example.com,8523392144,Delhi,Delhi,110001,user67250@example.com,8523392144,Delhi,SKU9158676,6.77E+12,4499,4499,4499,0,2,,0,0,VS,LF Logistics,421302,Bhiwandi,Maharastra,STORE,MBWH18,LFW745401958,BlueDart,3440428643,,,pay_VSIFBCNKYJFG,,,TSID745401958,VSLFW8620154699,9.06E+14,2/20/2026 17:40,2/20/2026 19:16,2/23/2026 17:29,2/20/2026 20:35,224.95,224.95,,NO,VSI00500167-712407144-1,WooCommerce,Custom,,,,,,,NO,,,,App,2/22/2026,Website,VSI00500167712407144,VSI00500167712407144,2/20/2026 17:40,2/20/2026,17:40:08,2/20/2026 19:16,Web,19:16:02,2/20/2026 20:35,2/20/2026,20:35:21,2/22/2026 3:37,2/22/2026,03:37:34,2/20/2026,2/22/2026,2/20/2026 20:35,2/20/2026,20:35:21,2/22/2026 3:37,2/22/2026,03:37:34,1.598,1.322,31.037,33.957,D0,D0,D1,D1,1.598,1.322,31.037,33.957,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bhiwandi-Delhi,z_b,1.4,2/22/2026,1.1,3440428643,2/20/2026 19:11,WMS,BlueDart,,,,,,,
ZP,ZP50000168,ZPI00500168,,ZPI00500168,01-02-2026 12:54,01-02-2026,COD,Partially Shipped,processing,pending,pickup pending,Pickup pending,,,Kolkata,700001,user93113@example.com,8216542443,West Bengal,Kolkata,700001,user93113@example.com,8216542443,West Bengal,SKU3426274,6.73E+12,3499,3499,3499,0,1,,0,0,ZP,ZP Center,110020,Delhi,Delhi,STORE,MBWH49,LFW334744410,BlueDart,1418527641,,,pay_ZPRNQYKDFONL,,,TSID334744410,ZPLFW6100947738,9.83E+14,01-02-2026 12:54,01-02-2026 16:34,01-04-2026 16:40,01-02-2026 17:34,174.95,174.95,,NO,ZPI00500168-534861134-1,Shopify,Custom,,,,,,,NO,,,,Web,01-05-2026,Website,ZPI00500168534861134,ZPI00500168534861134,01-02-2026 12:54,01-02-2026,12:54:03,01-02-2026 16:34,Marketplace,16:34:56,01-02-2026 17:34,01-02-2026,17:34:43,01-05-2026 00:56,01-05-2026,00:56:31,01-02-2026,01-05-2026,01-02-2026 17:34,01-02-2026,17:34:43,01-05-2026 00:56,01-05-2026,00:56:31,3.681,0.996,55.363,60.041,D0,D0,D2,D2,3.681,0.996,55.363,60.041,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Delhi-Kolkata,z_b,1.1,01-06-2026,1,1418527641,01-02-2026 16:29,WMS,BlueDart,,,,,,,
ZP,ZP50000169,ZPI00500169,,ZPI00500169,01-12-2026 18:32,01-12-2026,COD,Shipped,cancelled,in transit,in transit,Pickup pending,Out of Stock,Duplicate order,Delhi,110001,user32769@example.com,8731382986,Delhi,Delhi,110001,user32769@example.com,8731382986,Delhi,SKU9328292,6.83E+12,4999,4999,4999,0,3,,0,0,ZP,ZP Center,110020,Delhi,Delhi,STORE,MBWH63,LFW222944626,XpressBees,7664019331,,,pay_ZPKFSNHRMGTU,,,TSID222944626,ZPLFW5829435450,9.77E+14,01-12-2026 18:32,01-12-2026 19:50,1/14/2026 14:16,01-12-2026 21:58,249.95,249.95,,NO,ZPI00500169-854704393-1,Magento,Custom,,,,,,,NO,,,,Web,1/14/2026,Website,ZPI00500169854704393,ZPI00500169854704393,01-12-2026 18:32,01-12-2026,18:32:11,01-12-2026 19:50,Marketplace,19:50:52,01-12-2026 21:58,01-12-2026,21:58:19,1/14/2026 22:56,1/14/2026,22:56:51,01-12-2026,1/14/2026,01-12-2026 21:58,01-12-2026,21:58:19,1/14/2026 22:56,1/14/2026,22:56:51,1.311,2.124,48.976,52.411,D0,D0,D2,D2,1.311,2.124,48.976,52.411,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Delhi-Delhi,z_b,1.5,1/16/2026,1,7664019331,01-12-2026 19:45,WMS,XpressBees,,,,,,,
AX,AX50000170,AXI00500170,,AXI00500170,1/21/2026 10:03,1/21/2026,COD,Partially Shipped,shipped complete,pickup scheduled,pickup pending,Pickup pending,,,Jaipur,302001,user74361@example.com,7094304472,Rajasthan,Jaipur,302001,user74361@example.com,7094304472,Rajasthan,SKU7576872,6.84E+12,2299,2299,2999,700,1,,0,0,AX,AX Fulfillment,560100,Bengaluru,Karnataka,STORE,MBWH43,LFW129869705,ElasticRun SDD,3548153398,,,pay_AXDOTDDEJIFC,,,TSID129869705,AXLFW5176425710,9.96E+14,1/21/2026 10:03,1/21/2026 11:21,1/23/2026 16:22,1/21/2026 13:51,114.95,114.95,,NO,AXI00500170-139412121-1,Salesforce Commerce Cloud,Salesforce,,,,,,,NO,,,,App,1/23/2026,Website,AXI00500170139412121,AXI00500170139412121,1/21/2026 10:03,1/21/2026,10:03:36,1/21/2026 11:21,Web,11:21:32,1/21/2026 13:51,1/21/2026,13:51:42,1/23/2026 8:07,1/23/2026,08:07:02,1/21/2026,1/23/2026,1/21/2026 13:51,1/21/2026,13:51:42,1/23/2026 8:07,1/23/2026,08:07:02,1.299,2.503,42.255,46.057,D0,D0,D1,D1,1.299,2.503,42.255,46.057,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bengaluru-Jaipur,z_b,1.9,1/22/2026,1.8,3548153398,1/21/2026 11:16,WMS,ElasticRun SDD,,,,,,,
RK,RK50000171,RKI00500171,,RKI00500171,03-04-2026 22:03,03-04-2026,Prepaid,Shipped,shipped complete,pending,delivered,Pickup pending,,,Delhi,110001,user61488@example.com,7441928942,Delhi,Delhi,110001,user61488@example.com,7441928942,Delhi,SKU8564486,6.18E+12,1699,1699,1999,300,1,,0,0,RK,RK Hub,400701,Navi Mumbai,Maharashtra,WH,MBWH51,LFW660223245,Ekart,1021537349,,,pay_RKCLWRUJOXZP,,,TSID660223245,RKLFW8480530923,9.14E+14,03-04-2026 22:03,03-04-2026 23:17,03-06-2026 13:06,03-05-2026 01:30,84.95,84.95,,NO,RKI00500171-566350884-1,Magento,Custom,,,,,,,NO,,,,App,03-06-2026,Website,RKI00500171566350884,RKI00500171566350884,03-04-2026 22:03,03-04-2026,22:03:43,03-04-2026 23:17,Marketplace,23:17:27,03-05-2026 01:30,03-05-2026,01:30:33,03-06-2026 12:01,03-06-2026,12:01:28,03-05-2026,03-06-2026,03-05-2026 01:30,03-05-2026,01:30:33,03-06-2026 12:01,03-06-2026,12:01:28,1.229,2.218,34.515,37.963,D0,D0,D1,D1,1.229,2.218,34.515,37.963,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Navi Mumbai-Delhi,z_b,0.8,03-08-2026,0.7,1021537349,03-04-2026 23:12,WMS,Ekart,,,,,,,
ZP,ZP50000172,ZPI00500172,,ZPI00500172,02-09-2026 03:48,02-09-2026,COD,Partially Shipped,cancelled,pending,pickup pending,Pickup pending,,,Surat,395001,user89679@example.com,9883404698,Gujarat,Surat,395001,user89679@example.com,9883404698,Gujarat,SKU5557932,6.35E+12,799,799,1499,700,2,,0,0,ZP,ZP Center,110020,Delhi,Delhi,WH,MBWH94,LFW649065195,Delhivery,4820157317,,,pay_ZPWKGOSZKHRC,,,TSID649065195,ZPLFW7055080408,9.99E+14,02-09-2026 03:48,02-09-2026 05:25,02-11-2026 01:13,02-09-2026 07:43,39.95,39.95,,NO,ZPI00500172-396581302-1,Magento,Custom,,,,,,,NO,,,,App,02-10-2026,Website,ZPI00500172396581302,ZPI00500172396581302,02-09-2026 03:48,02-09-2026,03:48:36,02-09-2026 05:25,Web,05:25:39,02-09-2026 07:43,02-09-2026,07:43:57,02-10-2026 21:44,02-10-2026,21:44:27,02-09-2026,02-10-2026,02-09-2026 07:43,02-09-2026,07:43:57,02-10-2026 21:44,02-10-2026,21:44:27,1.617,2.305,38.008,41.931,D0,D0,D1,D1,1.617,2.305,38.008,41.931,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Delhi-Surat,z_b,0.7,02-12-2026,0.6,4820157317,02-09-2026 05:20,WMS,Delhivery,,,,,,,
